TOXCODE,toxic,lars,lcad,lchr,lcop,llead,lmerc,lnick,lsilv,lzinc,lacen,lacpt,lanth,lbaa,lban,lbap,lchry,lflan,lflen,lmeth,lnapt,lphen,lpyre
T,1,0.470003629,-2.659260037,,3.258096538,2.890371758,-3.218875825,3.135494216,-2.900422094,4.369447852,2.251291799,2.251291799,2.251291799,2.251291799,2.251291799,2.251291799,2.251291799,2.251291799,2.251291799,2.251291799,2.251291799,2.251291799,3.044522438
F,0,0.587786665,-2.995732274,,1.131402111,2.014903021,-3.912023005,1.589235205,-2.813410717,3.258096538,2.197224577,2.197224577,2.197224577,2.197224577,2.197224577,2.197224577,2.197224577,2.197224577,2.197224577,2.197224577,2.197224577,2.197224577,2.197224577
F,0,0.587786665,-2.813410717,,2.890371758,3.044522438,-3.506557897,3.17805383,-2.813410717,4.406719247,2.197224577,2.197224577,2.197224577,2.197224577,2.197224577,2.197224577,2.197224577,2.197224577,2.197224577,2.197224577,2.197224577,2.197224577,2.197224577
T,1,0.530628251,-2.407945609,,2.833213344,2.890371758,-3.506557897,3.091042453,-2.900422094,4.317488114,2.197224577,2.197224577,2.197224577,2.197224577,2.197224577,2.197224577,2.197224577,2.197224577,2.197224577,2.197224577,2.197224577,2.197224577,2.197224577
F,0,0.587786665,-2.813410717,,2.833213344,3.218875825,-3.912023005,3.044522438,-2.120263536,4.418840608,2.197224577,2.197224577,2.197224577,2.197224577,2.197224577,2.197224577,2.197224577,2.197224577,2.197224577,2.197224577,2.197224577,2.197224577,2.197224577
F,0,1.360976553,-2.525728644,,2.995732274,3.33220451,-2.995732274,3.135494216,-2.813410717,4.510859507,2.302585093,2.302585093,2.302585093,2.302585093,2.302585093,2.302585093,3.091042453,3.433987204,2.302585093,2.302585093,2.302585093,2.302585093,3.496507561
T,1,2.48490665,-1.560647748,,3.850147602,2.163323026,-1.46967597,4.700480366,-2.995732274,4.700480366,2.602689685,2.602689685,2.602689685,3.36729583,2.602689685,2.602689685,3.871201011,4.304065093,2.602689685,2.602689685,2.602689685,3.688879454,4.49980967
T,1,2.564949357,-0.967584026,,3.80666249,2.00148,-4.382026635,4.941642423,-2.995732274,,2.602689685,2.602689685,2.602689685,2.602689685,2.602689685,2.602689685,2.602689685,3.713572067,2.602689685,2.602689685,2.602689685,3.496507561,3.828641396
F,0,2.708050201,-0.94160854,,3.80666249,2.066862759,-4.045554398,4.86753445,-2.995732274,,2.602689685,2.602689685,2.602689685,2.602689685,2.602689685,2.602689685,2.602689685,3.295836866,2.602689685,2.602689685,2.602689685,2.602689685,3.713572067
T,1,1.887069649,0.182321557,,4.025351691,3.091042453,-0.424647928,4.700480366,-0.597837001,4.787491743,2.602689685,2.602689685,3.988984047,4.700480366,2.602689685,4.158883083,4.86753445,5.480638923,3.688879454,3.828641396,4.127134385,4.941642423,6.173786104
